trial,total_students,total_companies,companies_ranked,avg_company_ranking,company_popularity_std,company_ranking_skewness,company_ranking_kurtosis,company_entropy,company_outlier_count,company_outlier_percentage,highly_ranked_outlier_count,highly_ranked_outlier_percentage,lowly_ranked_outlier_count,lowly_ranked_outlier_percentage,best_company_avg_ranking,worst_company_avg_ranking,company_ranking_range,top_company,top_company_score,second_company,second_company_score,third_company,third_company_score,most_included_company,most_included_count,company_score_range,total_rankings_given,total_unranked_assignments
1,30,30,30,3.0535714285714284,0.8002947171715838,-0.3761715070955063,0.14184208000392884,2.6004422822781614,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.5,3.5,Vertex Valley Ventures,22.65625,HydraFlux Labs,22.65625,Orion Synergy,22.555555555555557,EchoSphere Analytics,3,0.10069444444444287,150,750
2,30,30,30,3.0054365079365084,0.6808561983446938,-0.6368105229937248,-0.21923653978198354,2.4464393446710155,2,6.666666666666667,2,6.666666666666667,0,0.0,1.5,4.0,2.5,ZenithWorks,21.875,LuxeLoom Enterprises,20.3125,Catalyst Core,20.3125,EverVault Enterprises,3,1.5625,150,750
3,30,30,30,3.0143650793650787,0.7906094464400243,-0.10705815813047158,-0.18198989194554693,2.5561489336858494,0,0.0,0,0.0,0,0.0,1.0,4.4,3.4000000000000004,DeltaBloom Group,23.4375,Magnetar Innovations,22.785714285714285,FusionBridge Networks,19.642857142857142,BlueFern BioTech,4,3.7946428571428577,150,750
4,30,30,29,2.9266420361247945,0.6420428624619695,0.36534064514122727,-0.902691997091877,2.1360604099707614,0,0.0,0,0.0,0,0.0,2.0,4.333333333333333,2.333333333333333,Nebula Dynamics,23.333333333333332,BlueFern BioTech,21.09375,StellarPath Logistics,20.3125,Vertex Valley Ventures,5,3.020833333333332,150,750
5,30,30,30,2.923915343915344,0.6739625882738345,-0.4807166032882731,0.5374853895719389,2.2874548350088157,1,3.3333333333333335,1,3.3333333333333335,0,0.0,1.0,4.166666666666667,3.166666666666667,Vortex Venture Group,25.4375,Crimson Arc Media,19.642857142857142,Ascendify Technologies,18.208333333333332,LuxeLoom Enterprises,4,7.229166666666668,150,750
6,30,30,30,2.8600396825396825,0.8589379727198557,-0.5969707448029593,-0.4706764207454279,2.629473298359841,0,0.0,0,0.0,0,0.0,1.0,4.333333333333333,3.333333333333333,Quantum Forge,24.21875,IronClad Systems,21.7,Cobalt Circuitry,19.53125,Cobalt Circuitry,4,4.6875,150,750
7,30,30,30,3.0775396825396824,0.7152949704029796,0.6269179315463876,0.09347635817449396,2.4296102518918294,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.75,5.0,3.25,Ascendify Technologies,29.291666666666668,TitanEdge Consulting,22.0,ZenithWorks,20.428571428571427,PeakVista Partners,4,8.86309523809524,150,750
8,30,30,30,2.931785714285714,0.7219707710272537,-0.8412959542064405,0.46891861782012656,2.4518411137950773,2,6.666666666666667,2,6.666666666666667,0,0.0,1.0,4.0,3.0,HarborWay Holdings,26.979166666666668,TerraNova Solutions,24.21875,BlueFern BioTech,18.208333333333332,Magnetar Innovations,4,8.770833333333336,150,750
9,30,30,29,3.077586206896551,0.6629621644649071,-0.04277840563491066,0.1231446515647101,2.4514137557544395,1,3.4482758620689653,1,3.4482758620689653,0,0.0,1.5,4.666666666666667,3.166666666666667,Aurora Axis,30.0625,ZenithWorks,22.65625,Quantum Forge,20.428571428571427,Crimson Arc Media,2,9.633928571428573,150,750
10,30,30,30,2.9595238095238097,0.5809994614022115,-0.20808958773011485,0.36499498412449194,2.1028329700472614,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.5,4.333333333333333,2.833333333333333,FusionBridge Networks,21.875,TitanEdge Consulting,21.0,Aurora Axis,21.0,EverVault Enterprises,4,0.875,150,750
11,30,30,30,2.9969047619047617,0.711819857441631,0.26576236387689883,0.938868446088553,2.4811939311696194,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.25,5.0,3.75,Orion Synergy,21.7,ZenithWorks,21.214285714285715,PrismPoint Studios,19.642857142857142,Quantum Forge,4,2.057142857142857,150,750
12,30,30,29,3.0096059113300493,0.6893789085767194,-0.3314544941173549,-0.7223891701229461,2.421048772263534,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.25,2.583333333333333,Aurora Axis,23.571428571428573,Crimson Arc Media,21.214285714285715,Apexion Innovations,20.15,Apexion Innovations,3,3.4214285714285744,150,750
13,30,30,30,2.9496693121693123,0.7195771529964848,0.14443458782105473,-0.47419861237441774,2.5594777826895116,0,0.0,0,0.0,0,0.0,1.5,4.5,3.0,Nebula Dynamics,22.475,TitanEdge Consulting,21.77777777777778,Crimson Arc Media,20.428571428571427,Apexion Innovations,3,2.0464285714285744,150,750
14,30,30,30,3.04700937950938,0.6735751288540369,-0.2270497329836965,-0.8450801706181723,2.4430190302453973,0,0.0,0,0.0,0,0.0,1.6666666666666667,4.2,2.533333333333333,Nebula Dynamics,28.675,Ascendify Technologies,24.21875,HydraFlux Labs,20.583333333333332,Nebula Dynamics,3,8.091666666666669,150,750
15,30,30,30,3.0618253968253977,0.6532481009392224,0.7381573640940664,1.2515473114712554,2.2892464285091583,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.7142857142857142,5.0,3.2857142857142856,Lumeon Strategies,30.0625,Magnetar Innovations,26.35,Catalyst Core,23.571428571428573,BlueFern BioTech,3,6.491071428571427,150,750
16,30,30,30,3.04484126984127,0.5956332286388202,1.0117976688568489,1.984142853296321,2.078203801008596,1,3.3333333333333335,0,0.0,1,3.3333333333333335,2.0,5.0,3.0,Quantum Forge,23.4375,BlueFern BioTech,17.285714285714285,DeltaBloom Group,16.5,Quantum Forge,3,6.9375,150,750
17,30,30,30,3.0963888888888893,0.8046744624311052,0.6202092311859826,0.10124444132127186,2.4811939311696194,0,0.0,0,0.0,0,0.0,1.75,5.0,3.25,Solaris Systems,23.4375,Ascendify Technologies,23.25,Vortex Venture Group,21.09375,Magnetar Innovations,5,2.34375,150,750
18,30,30,30,3.027222222222222,0.8418655896981595,0.2166355494491033,0.20112734957658285,2.3949490477321436,4,13.333333333333334,1,3.3333333333333335,3,10.0,1.3333333333333333,5.0,3.666666666666667,TerraNova Solutions,20.22222222222222,Crimson Arc Media,19.791666666666668,HydraFlux Labs,19.53125,Vortex Venture Group,3,0.6909722222222214,150,750
19,30,30,30,3.018227513227513,0.7546704188856652,0.3672589675272696,-0.7764922547381747,2.494739663055176,0,0.0,0,0.0,0,0.0,1.8,4.75,2.95,Nebula Dynamics,25.0,Catalyst Core,20.428571428571427,Aurora Axis,17.88888888888889,TerraNova Solutions,4,7.111111111111111,150,750
20,30,30,30,2.96466810966811,0.7129289525580408,-0.305278540835525,-0.6793052668892607,2.43978164666369,0,0.0,0,0.0,0,0.0,1.5,4.333333333333333,2.833333333333333,BlueFern BioTech,26.5625,Catalyst Core,26.272727272727273,Apexion Innovations,18.75,Vertex Valley Ventures,4,7.8125,150,750
21,30,30,29,2.96031746031746,0.6436811129009009,0.05274596381182253,-1.1796529077196083,2.1924559969845445,0,0.0,0,0.0,0,0.0,2.0,4.166666666666667,2.166666666666667,Cobalt Circuitry,24.88888888888889,TitanEdge Consulting,19.642857142857142,TerraNova Solutions,17.416666666666668,Orion Synergy,3,7.472222222222221,150,750
22,30,30,30,3.0186507936507936,0.7693748587115615,0.1889612219582281,-0.07837832696859381,2.569786130993361,0,0.0,0,0.0,0,0.0,1.6,5.0,3.4,Apexion Innovations,21.214285714285715,Magnetar Innovations,20.3125,EchoSphere Analytics,18.75,Aurora Axis,3,2.4642857142857153,150,750
23,30,30,30,3.0171031746031747,0.7445802844640715,0.4713800768045688,-0.05289161781378571,2.4602209150665963,1,3.3333333333333335,0,0.0,1,3.3333333333333335,1.6666666666666667,5.0,3.333333333333333,TerraNova Solutions,21.214285714285715,HarborWay Holdings,21.0,StellarPath Logistics,19.53125,FusionBridge Networks,3,1.6830357142857153,150,750
24,30,30,30,3.061111111111111,0.7711390019265432,0.4319694549027758,-0.32855007912652967,2.5185992458836997,0,0.0,0,0.0,0,0.0,1.8,5.0,3.2,Catalyst Core,22.65625,Apexion Innovations,22.0,FusionBridge Networks,20.428571428571427,Crimson Arc Media,5,2.227678571428573,150,750
25,30,30,30,2.847976190476191,0.755479801666215,-0.4971213801527897,-0.24925286791970258,2.5601029958115844,0,0.0,0,0.0,0,0.0,1.0,4.2,3.2,TitanEdge Consulting,20.583333333333332,Lumeon Strategies,19.0,HarborWay Holdings,17.825,IronClad Systems,4,2.758333333333333,150,750
26,30,30,30,2.8316522366522374,0.7233639822871178,-0.7374231245358224,0.8910829282485158,2.398277896735806,4,13.333333333333334,3,10.0,1,3.3333333333333335,1.0,4.166666666666667,3.166666666666667,EverVault Enterprises,27.045454545454547,BlueFern BioTech,24.727272727272727,FusionBridge Networks,18.75,DeltaBloom Group,5,8.295454545454547,150,750
27,30,30,29,2.989819376026273,0.6939681944690272,-0.29898383492548863,1.0050284298883634,2.2601202944325878,1,3.4482758620689653,1,3.4482758620689653,0,0.0,1.0,4.5,3.5,HarborWay Holdings,30.0,ZenithWorks,25.0,Orion Synergy,23.333333333333332,HarborWay Holdings,3,6.666666666666668,150,750
28,30,30,30,3.005291005291005,0.7859355504100786,-0.4049081317422331,0.3733844947641374,2.4027150507922492,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,1.0,4.75,3.75,HarborWay Holdings,21.875,LuxeLoom Enterprises,18.75,Orion Synergy,17.88888888888889,Apexion Innovations,3,3.9861111111111107,150,750
29,30,30,30,3.003544973544974,0.7711842247346646,-0.4202827633036697,0.10239399913191205,2.5478605978362863,0,0.0,0,0.0,0,0.0,1.0,4.666666666666667,3.666666666666667,BlueFern BioTech,27.22222222222222,Aurora Axis,24.025,Vertex Valley Ventures,18.666666666666668,Aurora Axis,3,8.555555555555554,150,750
