trial,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent,rank_first_avg_student_ranking,rank_first_std_student_ranking,rank_first_median_student_ranking,rank_first_iqr_student_ranking,rank_first_student_satisfaction_percent,rank_first_student_satisfaction_top4_percent,rank_first_student_satisfaction_top5_percent,rank_first_students_got_choice_1_count,rank_first_students_got_choice_1_percent,rank_first_students_got_choice_2_count,rank_first_students_got_choice_2_percent,rank_first_students_got_choice_3_count,rank_first_students_got_choice_3_percent,rank_first_students_got_choice_4_count,rank_first_students_got_choice_4_percent,rank_first_students_got_choice_5_count,rank_first_students_got_choice_5_percent,rank_first_students_got_choice_6_count,rank_first_students_got_choice_6_percent,best_first_avg_student_ranking,best_first_std_student_ranking,best_first_median_student_ranking,best_first_iqr_student_ranking,best_first_student_satisfaction_percent,best_first_student_satisfaction_top4_percent,best_first_student_satisfaction_top5_percent,best_first_students_got_choice_1_count,best_first_students_got_choice_1_percent,best_first_students_got_choice_2_count,best_first_students_got_choice_2_percent,best_first_students_got_choice_3_count,best_first_students_got_choice_3_percent,best_first_students_got_choice_4_count,best_first_students_got_choice_4_percent,best_first_students_got_choice_5_count,best_first_students_got_choice_5_percent,best_first_students_got_choice_6_count,best_first_students_got_choice_6_percent,fragility_mirror_avg_student_ranking,fragility_mirror_std_student_ranking,fragility_mirror_median_student_ranking,fragility_mirror_iqr_student_ranking,fragility_mirror_student_satisfaction_percent,fragility_mirror_student_satisfaction_top4_percent,fragility_mirror_student_satisfaction_top5_percent,fragility_mirror_students_got_choice_1_count,fragility_mirror_students_got_choice_1_percent,fragility_mirror_students_got_choice_2_count,fragility_mirror_students_got_choice_2_percent,fragility_mirror_students_got_choice_3_count,fragility_mirror_students_got_choice_3_percent,fragility_mirror_students_got_choice_4_count,fragility_mirror_students_got_choice_4_percent,fragility_mirror_students_got_choice_5_count,fragility_mirror_students_got_choice_5_percent,fragility_mirror_students_got_choice_6_count,fragility_mirror_students_got_choice_6_percent
1,2.2666666666666666,1.7876116903722563,1.5,1.75,83.33333333333334,83.33333333333334,83.33333333333334,15,50.0,7,23.333333333333332,3,10.0,0,0.0,0,0.0,5,16.666666666666664,1.8666666666666667,1.5648926125740668,1.0,1.0,86.66666666666667,90.0,90.0,20,66.66666666666666,4,13.333333333333334,2,6.666666666666667,1,3.3333333333333335,0,0.0,3,10.0,1.9333333333333333,1.5260697523012796,1.0,1.0,90.0,90.0,90.0,18,60.0,5,16.666666666666664,4,13.333333333333334,0,0.0,0,0.0,3,10.0,2.1666666666666665,1.6947631758514883,1.0,1.75,83.33333333333334,86.66666666666667,86.66666666666667,16,53.333333333333336,6,20.0,3,10.0,1,3.3333333333333335,0,0.0,4,13.333333333333334
2,2.566666666666667,1.7259457954666158,2.0,2.0,80.0,83.33333333333334,83.33333333333334,10,33.33333333333333,9,30.0,5,16.666666666666664,1,3.3333333333333335,0,0.0,5,16.666666666666664,2.2333333333333334,1.7829438827088442,1.5,1.0,83.33333333333334,83.33333333333334,83.33333333333334,15,50.0,8,26.666666666666668,2,6.666666666666667,0,0.0,0,0.0,5,16.666666666666664,2.466666666666667,1.927577639306795,2.0,1.0,76.66666666666667,76.66666666666667,80.0,13,43.333333333333336,10,33.33333333333333,0,0.0,0,0.0,1,3.3333333333333335,6,20.0,2.7666666666666666,1.92671280221579,2.0,3.0,66.66666666666666,76.66666666666667,80.0,11,36.666666666666664,8,26.666666666666668,1,3.3333333333333335,3,10.0,1,3.3333333333333335,6,20.0
3,2.5,1.707825127659933,2.0,2.0,83.33333333333334,83.33333333333334,83.33333333333334,10,33.33333333333333,10,33.33333333333333,5,16.666666666666664,0,0.0,0,0.0,5,16.666666666666664,2.1333333333333333,1.6679994670929073,1.0,1.75,86.66666666666667,86.66666666666667,86.66666666666667,16,53.333333333333336,6,20.0,4,13.333333333333334,0,0.0,0,0.0,4,13.333333333333334,2.466666666666667,1.9102065042525873,2.0,2.0,76.66666666666667,80.0,80.0,14,46.666666666666664,7,23.333333333333332,2,6.666666666666667,1,3.3333333333333335,0,0.0,6,20.0,2.566666666666667,1.8381754238616317,2.0,2.0,80.0,80.0,80.0,11,36.666666666666664,9,30.0,4,13.333333333333334,0,0.0,0,0.0,6,20.0
4,2.6666666666666665,1.3984117975602022,2.0,1.0,80.0,86.66666666666667,93.33333333333333,6,20.0,10,33.33333333333333,8,26.666666666666668,2,6.666666666666667,2,6.666666666666667,2,6.666666666666667,2.033333333333333,1.5595583420386112,1.0,1.0,83.33333333333334,90.0,90.0,16,53.333333333333336,8,26.666666666666668,1,3.3333333333333335,2,6.666666666666667,0,0.0,3,10.0,2.2666666666666666,1.6519348924485158,2.0,1.75,76.66666666666667,86.66666666666667,90.0,14,46.666666666666664,8,26.666666666666668,1,3.3333333333333335,3,10.0,1,3.3333333333333335,3,10.0,2.933333333333333,1.896195020443719,2.0,3.0,70.0,76.66666666666667,76.66666666666667,9,30.0,7,23.333333333333332,5,16.666666666666664,2,6.666666666666667,0,0.0,7,23.333333333333332
5,2.8,1.9218047073866102,2.0,2.75,73.33333333333333,76.66666666666667,76.66666666666667,10,33.33333333333333,8,26.666666666666668,4,13.333333333333334,1,3.3333333333333335,0,0.0,7,23.333333333333332,2.1666666666666665,1.6141733350404335,1.0,2.0,80.0,90.0,90.0,16,53.333333333333336,5,16.666666666666664,3,10.0,3,10.0,0,0.0,3,10.0,2.433333333333333,1.8562207723101138,2.0,2.0,76.66666666666667,80.0,83.33333333333334,14,46.666666666666664,7,23.333333333333332,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,5,16.666666666666664,2.466666666666667,1.8926759422104522,1.5,2.75,73.33333333333333,80.0,83.33333333333334,15,50.0,5,16.666666666666664,2,6.666666666666667,2,6.666666666666667,1,3.3333333333333335,5,16.666666666666664
6,2.7333333333333334,1.6110727964792764,2.0,1.0,76.66666666666667,83.33333333333334,86.66666666666667,7,23.333333333333332,10,33.33333333333333,6,20.0,2,6.666666666666667,1,3.3333333333333335,4,13.333333333333334,2.3333333333333335,1.8856180831641265,1.0,1.75,76.66666666666667,80.0,83.33333333333334,16,53.333333333333336,6,20.0,1,3.3333333333333335,1,3.3333333333333335,1,3.3333333333333335,5,16.666666666666664,2.2666666666666666,1.8061622912192088,1.5,1.0,80.0,83.33333333333334,83.33333333333334,15,50.0,8,26.666666666666668,1,3.3333333333333335,1,3.3333333333333335,0,0.0,5,16.666666666666664,2.6666666666666665,1.903213656482693,2.0,3.0,70.0,80.0,80.0,12,40.0,7,23.333333333333332,2,6.666666666666667,3,10.0,0,0.0,6,20.0
7,2.533333333333333,1.8571184369578826,2.0,2.0,80.0,80.0,80.0,12,40.0,8,26.666666666666668,4,13.333333333333334,0,0.0,0,0.0,6,20.0,1.9666666666666666,1.5162087220725546,1.0,1.0,83.33333333333334,90.0,93.33333333333333,18,60.0,5,16.666666666666664,2,6.666666666666667,2,6.666666666666667,1,3.3333333333333335,2,6.666666666666667,1.9666666666666666,1.4715826703096075,1.0,1.0,86.66666666666667,90.0,93.33333333333333,17,56.666666666666664,6,20.0,3,10.0,1,3.3333333333333335,1,3.3333333333333335,2,6.666666666666667,2.4,1.7243356208503418,2.0,2.75,73.33333333333333,86.66666666666667,86.66666666666667,13,43.333333333333336,8,26.666666666666668,1,3.3333333333333335,4,13.333333333333334,0,0.0,4,13.333333333333334
8,2.466666666666667,1.70749979664876,2.0,2.0,83.33333333333334,83.33333333333334,83.33333333333334,10,33.33333333333333,11,36.666666666666664,4,13.333333333333334,0,0.0,0,0.0,5,16.666666666666664,2.1,1.491084616423003,2.0,1.75,90.0,90.0,90.0,14,46.666666666666664,8,26.666666666666668,5,16.666666666666664,0,0.0,0,0.0,3,10.0,2.1,1.491084616423003,2.0,1.75,90.0,90.0,90.0,14,46.666666666666664,8,26.666666666666668,5,16.666666666666664,0,0.0,0,0.0,3,10.0,2.466666666666667,1.586050300449376,2.0,2.0,86.66666666666667,86.66666666666667,86.66666666666667,10,33.33333333333333,8,26.666666666666668,8,26.666666666666668,0,0.0,0,0.0,4,13.333333333333334
9,2.6,1.8366636418607882,2.0,2.75,73.33333333333333,80.0,83.33333333333334,12,40.0,7,23.333333333333332,3,10.0,2,6.666666666666667,1,3.3333333333333335,5,16.666666666666664,2.033333333333333,1.5380362660079103,1.0,2.0,90.0,90.0,90.0,17,56.666666666666664,4,13.333333333333334,6,20.0,0,0.0,0,0.0,3,10.0,2.3333333333333335,1.8135294011647258,1.5,2.0,80.0,83.33333333333334,83.33333333333334,15,50.0,6,20.0,3,10.0,1,3.3333333333333335,0,0.0,5,16.666666666666664,2.8,1.886796226411321,2.0,3.0,66.66666666666666,76.66666666666667,83.33333333333334,12,40.0,4,13.333333333333334,4,13.333333333333334,3,10.0,2,6.666666666666667,5,16.666666666666664
10,2.8333333333333335,1.790406533599438,2.5,2.0,76.66666666666667,80.0,80.0,9,30.0,6,20.0,8,26.666666666666668,1,3.3333333333333335,0,0.0,6,20.0,2.3333333333333335,1.7950549357115013,1.5,2.0,83.33333333333334,83.33333333333334,83.33333333333334,15,50.0,5,16.666666666666664,5,16.666666666666664,0,0.0,0,0.0,5,16.666666666666664,2.533333333333333,1.9447936194419764,2.0,2.0,76.66666666666667,76.66666666666667,80.0,14,46.666666666666664,6,20.0,3,10.0,0,0.0,1,3.3333333333333335,6,20.0,2.8666666666666667,1.8749814813900312,2.0,3.0,63.33333333333333,76.66666666666667,83.33333333333334,11,36.666666666666664,5,16.666666666666664,3,10.0,4,13.333333333333334,2,6.666666666666667,5,16.666666666666664
