trial,structurally_viable,fragility_mirror_avg_student_ranking,fragility_mirror_std_student_ranking,fragility_mirror_median_student_ranking,fragility_mirror_iqr_student_ranking,fragility_mirror_student_satisfaction_percent,fragility_mirror_student_satisfaction_top4_percent,fragility_mirror_student_satisfaction_top5_percent,fragility_mirror_students_got_choice_1_count,fragility_mirror_students_got_choice_1_percent,fragility_mirror_students_got_choice_2_count,fragility_mirror_students_got_choice_2_percent,fragility_mirror_students_got_choice_3_count,fragility_mirror_students_got_choice_3_percent,fragility_mirror_students_got_choice_4_count,fragility_mirror_students_got_choice_4_percent,fragility_mirror_students_got_choice_5_count,fragility_mirror_students_got_choice_5_percent,fragility_mirror_students_got_choice_6_count,fragility_mirror_students_got_choice_6_percent
1,True,2.22,1.6648123017325407,2.0,1.0,84.0,86.0,86.0,22,44.0,17,34.0,3,6.0,1,2.0,0,0.0,7,14.000000000000002
2,True,2.14,1.6493635136015345,1.0,2.0,84.0,88.0,88.0,27,54.0,9,18.0,6,12.0,2,4.0,0,0.0,6,12.0
3,False,1.9183673469387754,1.5231108699628808,1.0,1.0,79.59183673469387,91.83673469387756,93.87755102040816,32,65.3061224489796,6,12.244897959183673,1,2.0408163265306123,6,12.244897959183673,1,2.0408163265306123,3,6.122448979591836
4,True,1.96,1.4136477637657834,1.0,1.0,86.0,92.0,94.0,27,54.0,12,24.0,4,8.0,3,6.0,1,2.0,3,6.0
5,True,1.86,1.3566134305689295,1.0,1.0,90.0,92.0,94.0,28,56.00000000000001,13,26.0,4,8.0,1,2.0,1,2.0,3,6.0
6,True,2.1,1.5264337522473748,1.0,1.75,82.0,88.0,94.0,26,52.0,11,22.0,4,8.0,3,6.0,3,6.0,3,6.0
7,False,2.04,1.441665703275208,1.0,1.75,84.0,92.0,94.0,26,52.0,11,22.0,5,10.0,4,8.0,1,2.0,3,6.0
8,True,1.96,1.3850631754544627,1.0,1.0,88.0,92.0,94.0,26,52.0,13,26.0,5,10.0,2,4.0,1,2.0,3,6.0
9,False,2.24,1.7499714283381886,1.0,2.0,76.0,84.0,90.0,29,57.99999999999999,5,10.0,4,8.0,4,8.0,3,6.0,5,10.0
10,True,1.98,1.5425952158618927,1.0,1.75,84.0,88.0,94.0,31,62.0,6,12.0,5,10.0,2,4.0,3,6.0,3,6.0
11,True,2.08,1.4119490075778232,2.0,1.0,84.0,92.0,94.0,23,46.0,15,30.0,4,8.0,4,8.0,1,2.0,3,6.0
12,True,1.92,1.5210522673465234,1.0,1.0,88.0,90.0,90.0,29,57.99999999999999,12,24.0,3,6.0,1,2.0,0,0.0,5,10.0
13,True,1.98,1.476346842716846,1.0,1.75,90.0,90.0,92.0,28,56.00000000000001,9,18.0,8,16.0,0,0.0,1,2.0,4,8.0
14,False,1.92,1.507846145997661,1.0,1.0,84.0,90.0,94.0,32,64.0,6,12.0,4,8.0,3,6.0,2,4.0,3,6.0
15,True,2.12,1.4918444959177213,1.5,2.0,82.0,90.0,94.0,25,50.0,11,22.0,5,10.0,4,8.0,2,4.0,3,6.0
16,True,1.92,1.2781236246936365,1.5,1.0,92.0,92.0,96.0,25,50.0,14,28.000000000000004,7,14.000000000000002,0,0.0,2,4.0,2,4.0
17,True,1.94,1.405844941663198,1.0,1.0,88.0,88.0,96.0,27,54.0,13,26.0,4,8.0,0,0.0,4,8.0,2,4.0
18,True,2.34,1.8720042734993956,1.0,1.75,76.0,80.0,84.0,26,52.0,11,22.0,1,2.0,2,4.0,2,4.0,8,16.0
19,True,2.36,1.6463292501805342,2.0,2.0,78.0,86.0,90.0,22,44.0,11,22.0,6,12.0,4,8.0,2,4.0,5,10.0
20,True,1.96,1.4416657032752078,1.0,1.0,88.0,92.0,92.0,27,54.0,12,24.0,5,10.0,2,4.0,0,0.0,4,8.0
21,False,2.1,1.6031219541881399,1.5,1.0,86.0,88.0,88.0,25,50.0,14,28.000000000000004,4,8.0,1,2.0,0,0.0,6,12.0
22,True,2.1,1.445683229480096,2.0,2.0,88.0,92.0,92.0,24,48.0,11,22.0,9,18.0,2,4.0,0,0.0,4,8.0
23,True,2.24,1.691862878604528,2.0,1.0,82.0,86.0,86.0,23,46.0,15,30.0,3,6.0,2,4.0,0,0.0,7,14.000000000000002
24,True,1.96,1.3994284547628721,1.0,1.75,86.0,94.0,94.0,28,56.00000000000001,9,18.0,6,12.0,4,8.0,0,0.0,3,6.0
25,False,2.22,1.6406096427852666,1.5,2.0,82.0,86.0,90.0,25,50.0,10,20.0,6,12.0,2,4.0,2,4.0,5,10.0
